"Carimbo de data/hora","Qual a sua idade ?","Gênero","Em que período você entrou na faculdade ?","Que classes de disciplinas você cursou ou está cursando no ensino remoto emergencial ?","Problemas(s) técnico(s) (hardware / software / rede) [Teóricas de matemática/estatística]","Problemas(s) técnico(s) (hardware / software / rede) [Teóricas de computação/gerais]","Problemas(s) técnico(s) (hardware / software / rede) [Práticas/Laboratórios]","Comunicação prejudicada com os professores a partir das vídeo-chamadas e/ou emails (ferramentas ineficientes, atrasos de áudio, desconforto ao interagir, entre outros) [Teóricas de matemática/estatística]","Comunicação prejudicada com os professores a partir das vídeo-chamadas e/ou emails (ferramentas ineficientes, atrasos de áudio, desconforto ao interagir, entre outros) [Teóricas de computação/gerais]","Comunicação prejudicada com os professores a partir das vídeo-chamadas e/ou emails (ferramentas ineficientes, atrasos de áudio, desconforto ao interagir, entre outros) [Práticas/Laboratórios]","Problema de gerenciamento do tempo (estudar, completar atividades no prazo, encontrar disponibilidade para assistir as aulas, entre outros) [Teóricas de matemática/estatística]","Problema de gerenciamento do tempo (estudar, completar atividades no prazo, encontrar disponibilidade para assistir as aulas, entre outros) [Teóricas de computação/gerais]","Problema de gerenciamento do tempo (estudar, completar atividades no prazo, encontrar disponibilidade para assistir as aulas, entre outros) [Práticas/Laboratórios]","Falta de contato face-a-face e de atenção individualizada com o professor [Teóricas de matemática/estatística]","Falta de contato face-a-face e de atenção individualizada com o professor [Teóricas de computação/gerais]","Falta de contato face-a-face e de atenção individualizada com o professor [Práticas/Laboratórios]","Ambiente de aprendizado não produtivo (distrações por parte dos familiares/amigos/redes sociais, ansiedade, stress, entre outros) [Teóricas de matemática/estatística]","Ambiente de aprendizado não produtivo (distrações por parte dos familiares/amigos/redes sociais, ansiedade, stress, entre outros) [Teóricas de computação/gerais]","Ambiente de aprendizado não produtivo (distrações por parte dos familiares/amigos/redes sociais, ansiedade, stress, entre outros) [Práticas/Laboratórios]","Flexibilidade nos horários de estudo (aulas gravadas, não cobrança de faltas, material disponível offline, entre outros) [Teóricas de matemática/estatística]","Flexibilidade nos horários de estudo (aulas gravadas, não cobrança de faltas, material disponível offline, entre outros) [Teóricas de computação/gerais]","Flexibilidade nos horários de estudo (aulas gravadas, não cobrança de faltas, material disponível offline, entre outros) [Práticas/Laboratórios]","Estrutura mais claras das disciplinas (cronogramas melhor planejados de início, entre outros) [Teóricas de matemática/estatística]","Estrutura mais claras das disciplinas (cronogramas melhor planejados de início, entre outros) [Teóricas de computação/gerais]","Estrutura mais claras das disciplinas (cronogramas melhor planejados de início, entre outros) [Práticas/Laboratórios]","Aprendizado no seu ritmo [Teóricas de matemática/estatística]","Aprendizado no seu ritmo [Teóricas de computação/gerais]","Aprendizado no seu ritmo [Práticas/Laboratórios]","Quais dificuldades (não citadas anteriormente) te impactaram negativamente ?","Quais pontos (não citados anteriormente) te impactaram positivamente ?","O quanto você acha que seu aprendizado foi afetado no ensino remoto emergencial ?"
"2021/08/10 12:08:56 PM GMT-3","22","Feminino","2017.2","Teóricas de computação/gerais","3","2","4","5","4","2","2","3","3","2","4","1","1","3","3","2","4","4","3","3","3","2","2","2","nenhuma","não vale","1"
"2021/08/10 12:25:46 PM GMT-3","22","Masculino","2018.1","Teóricas de computação/gerais","2","2","3","2","3","3","3","3","4","1","2","3","2","2","3","4","4","4","3","3","3","3","3","3","","","4"
"2021/08/10 12:26:53 PM GMT-3","22","Masculino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais","1","1","1","4","4","1","5","5","1","5","5","1","4","4","1","5","5","1","4","4","1","4","4","1","","","2"
"2021/08/10 12:45:51 PM GMT-3","23","Feminino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","2","2","2","4","4","4","2","2","2","5","5","5","5","5","5","5","5","5","3","3","3","","","6"
"2021/08/10 12:46:35 PM GMT-3","21","Masculino","2018.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","3","3","4","1","1","1","4","4","5","5","5","5","5","5","5","3","3","2","4","4","4","A falta do convívio com os outros alunos no dia a dia acadêmico.","Começar a utilizar ferramentas como meets e discord para fazer atividades com os colegas do curso, o que antes não acontecia.","5"
"2021/08/10 12:50:02 PM GMT-3","22","Masculino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","3","2","1","1","1","3","2","4","5","3","3","3","4","4","4","5","5","5","3","3","3","","","7"
"2021/08/10 12:55:30 PM GMT-3","20","Masculino","2018.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","1","1","1","1","2","2","2","3","3","2","2","4","1","1","1","1","1","1","1","2","2","","","4"
"2021/08/10 12:56:57 PM GMT-3","20","Masculino","2018.2","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","4","3","2","2","2","2","4","4","4","3","4","2","5","5","5","2","3","3","3","3","2","Cronograma e quantidade de conteúdo cobrados","Flexibilidade de tempo, da para conciliar com mais atividades.","7"
"2021/08/10 12:59:22 PM GMT-3","20","Masculino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","4","2","4","4","3","4","5","5","5","5","3","3","3","4","4","5","5","5","5","5","5","4","4","4","","","4"
"2021/08/10 1:20:09 PM GMT-3","20","Masculino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais","1","3","1","1","1","1","4","4","1","3","3","1","5","5","1","4","4","1","3","3","1","4","4","1","","","3"
"2021/08/10 1:37:39 PM GMT-3","21","Feminino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais;Práticas/Laboratórios","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","","","10"
"2021/08/10 2:05:58 PM GMT-3","21","Masculino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais","2","2","1","2","2","1","4","4","1","3","3","1","4","4","1","5","4","1","3","3","1","2","2","1","","","3"
"2021/08/10 2:14:56 PM GMT-3","24","Masculino","2018.1","Teóricas da base matemática/estatística do curso;Teóricas de computação/gerais","1","1","1","5","4","1","5","5","1","3","3","1","5","5","1","5","5","1","5","5","1","5","5","1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima","3"
